Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202003030DEN,https://www.basketball-reference.com/boxscores/pbp/202003030DEN.html,Denver Nuggets,Golden State Warriors,DEN,GSW,N. Jokić,M. Chriss,M. Chriss,GSW,DEN,D. Lee,/players/l/leeda03.html,GSW,M. Chriss,N. Jokić,1
202003030PHO,https://www.basketball-reference.com/boxscores/pbp/202003030PHO.html,Phoenix Suns,Toronto Raptors,PHO,TOR,D. Ayton,O. Anunoby,O. Anunoby,TOR,PHO,N. Powell,/players/p/powelno01.html,TOR,O. Anunoby,D. Ayton,1
202003030LAL,https://www.basketball-reference.com/boxscores/pbp/202003030LAL.html,Los Angeles Lakers,Philadelphia 76ers,LAL,PHI,J. McGee,A. Horford,T. Harris,PHI,LAL,M. Scott,/players/s/scottmi01.html,PHI,A. Horford,J. McGee,1
202003030SAC,https://www.basketball-reference.com/boxscores/pbp/202003030SAC.html,Sacramento Kings,Washington Wizards,SAC,WAS,H. Giles,T. Bryant,B. Bogdanović,WAS,SAC,R. Hachimura,/players/h/hachiru01.html,SAC,T. Bryant,H. Giles,0
202003040CLE,https://www.basketball-reference.com/boxscores/pbp/202003040CLE.html,Cleveland Cavaliers,Boston Celtics,CLE,BOS,L. Nance,D. Theis,L. Nance,CLE,BOS,K. Love,/players/l/loveke01.html,CLE,L. Nance,D. Theis,1
202003040DET,https://www.basketball-reference.com/boxscores/pbp/202003040DET.html,Detroit Pistons,Oklahoma City Thunder,DET,OKC,J. Henson,S. Adams,S. Gilgeous-Alexander,OKC,DET,S. Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,S. Adams,J. Henson,1
202003040MIL,https://www.basketball-reference.com/boxscores/pbp/202003040MIL.html,Milwaukee Bucks,Indiana Pacers,MIL,IND,B. Lopez,M. Turner,K. Middleton,MIL,IND,G. Antetokounmpo,/players/a/antetgi01.html,MIL,B. Lopez,M. Turner,1
202003040BRK,https://www.basketball-reference.com/boxscores/pbp/202003040BRK.html,Brooklyn Nets,Memphis Grizzlies,BRK,MEM,J. Allen,J. Valančiūnas,T. Prince,BRK,MEM,S. Dinwiddie,/players/d/dinwisp01.html,BRK,J. Allen,J. Valančiūnas,1
202003040NYK,https://www.basketball-reference.com/boxscores/pbp/202003040NYK.html,New York Knicks,Utah Jazz,NYK,UTA,T. Gibson,R. Gobert,R. O'Neale,UTA,NYK,D. Mitchell,/players/m/mitchdo01.html,UTA,R. Gobert,T. Gibson,1
202003040MIA,https://www.basketball-reference.com/boxscores/pbp/202003040MIA.html,Miami Heat,Orlando Magic,MIA,ORL,B. Adebayo,N. Vučević,J. Ennis,MIA,ORL,J. Butler,/players/b/butleji01.html,ORL,B. Adebayo,N. Vučević,0
202003040MIN,https://www.basketball-reference.com/boxscores/pbp/202003040MIN.html,Minnesota Timberwolves,Chicago Bulls,MIN,CHI,N. Reid,W. Carter,T. Satoranský,CHI,MIN,T. Satoranský,/players/s/satorto01.html,CHI,W. Carter,N. Reid,1
202003040DAL,https://www.basketball-reference.com/boxscores/pbp/202003040DAL.html,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,K. Porziņģis,D. Favors,L. Ball,NOP,DAL,L. Ball,/players/b/balllo01.html,NOP,D. Favors,K. Porziņģis,1
202003040POR,https://www.basketball-reference.com/boxscores/pbp/202003040POR.html,Portland Trail Blazers,Washington Wizards,POR,WAS,H. Whiteside,M. Wagner,B. Beal,POR,WAS,C. Anthony,/players/a/anthoca01.html,WAS,H. Whiteside,M. Wagner,0
202003050CHO,https://www.basketball-reference.com/boxscores/pbp/202003050CHO.html,Charlotte Hornets,Denver Nuggets,CHO,DEN,C. Zeller,N. Jokić,M. Bridges,DEN,CHO,W. Barton,/players/b/bartowi01.html,CHO,N. Jokić,C. Zeller,0
202003050HOU,https://www.basketball-reference.com/boxscores/pbp/202003050HOU.html,Houston Rockets,Los Angeles Clippers,HOU,LAC,R. Covington,I. Zubac,I. Zubac,LAC,HOU,P. Beverley,/players/b/beverpa01.html,LAC,I. Zubac,R. Covington,1
202003050SAC,https://www.basketball-reference.com/boxscores/pbp/202003050SAC.html,Sacramento Kings,Philadelphia 76ers,SAC,PHI,H. Giles,A. Horford,A. Horford,PHI,SAC,M. Scott,/players/s/scottmi01.html,PHI,A. Horford,H. Giles,1
202003050GSW,https://www.basketball-reference.com/boxscores/pbp/202003050GSW.html,Golden State Warriors,Toronto Raptors,GSW,TOR,M. Chriss,S. Ibaka,D. Lee,TOR,GSW,K. Lowry,/players/l/lowryky01.html,GSW,S. Ibaka,M. Chriss,0
202003060WAS,https://www.basketball-reference.com/boxscores/pbp/202003060WAS.html,Washington Wizards,Atlanta Hawks,WAS,ATL,T. Bryant,D. Dedmon,K. Huerter,ATL,WAS,K. Huerter,/players/h/huertke01.html,ATL,D. Dedmon,T. Bryant,1
202003060BRK,https://www.basketball-reference.com/boxscores/pbp/202003060BRK.html,Brooklyn Nets,San Antonio Spurs,BRK,SAS,J. Allen,T. Lyles,S. Dinwiddie,BRK,SAS,S. Dinwiddie,/players/d/dinwisp01.html,BRK,J. Allen,T. Lyles,1
202003060NYK,https://www.basketball-reference.com/boxscores/pbp/202003060NYK.html,New York Knicks,Oklahoma City Thunder,NYK,OKC,T. Gibson,S. Adams,J. Randle,OKC,NYK,C. Paul,/players/p/paulch01.html,NYK,S. Adams,T. Gibson,0
202003060CHI,https://www.basketball-reference.com/boxscores/pbp/202003060CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,W. Carter,M. Turner,D. Sabonis,CHI,IND,D. Valentine,/players/v/valende01.html,IND,W. Carter,M. Turner,0
202003060MIN,https://www.basketball-reference.com/boxscores/pbp/202003060MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,N. Reid,N. Vučević,M. Beasley,ORL,MIN,A. Gordon,/players/g/gordoaa01.html,MIN,N. Vučević,N. Reid,0
202003060NOP,https://www.basketball-reference.com/boxscores/pbp/202003060NOP.html,New Orleans Pelicans,Miami Heat,NOP,MIA,D. Favors,B. Adebayo,J. Butler,MIA,NOP,D. Jones,/players/j/jonesde02.html,MIA,B. Adebayo,D. Favors,1
202003060BOS,https://www.basketball-reference.com/boxscores/pbp/202003060BOS.html,Boston Celtics,Utah Jazz,BOS,UTA,D. Theis,R. Gobert,D. Mitchell,UTA,BOS,D. Mitchell,/players/m/mitchdo01.html,UTA,R. Gobert,D. Theis,1
202003060DAL,https://www.basketball-reference.com/boxscores/pbp/202003060DAL.html,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,K. Porziņģis,J. Valančiūnas,J. Valančiūnas,DAL,MEM,S. Curry,/players/c/curryse01.html,MEM,K. Porziņģis,J. Valančiūnas,0
