Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
200411130HOU,https://www.basketball-reference.com/boxscores/pbp/200411130HOU.html,Houston Rockets,Los Angeles Lakers,HOU,LAL,Y. Ming,C. Mihm,K. Bryant,HOU,LAL,C. Ward,/players/w/wardch01.html,LAL,HOU,Y. Ming,C. Mihm,0
200411130MIL,https://www.basketball-reference.com/boxscores/pbp/200411130MIL.html,Milwaukee Bucks,New Orleans Hornets,MIL,NOH,D. Gadzuric,J. Magloire,J. Smith,MIL,NOH,J. Smith,/players/s/smithjo02.html,MIL,NOH,D. Gadzuric,J. Magloire,1
200411130PHO,https://www.basketball-reference.com/boxscores/pbp/200411130PHO.html,Phoenix Suns,Sacramento Kings,PHO,SAC,A. Stoudemire,B. Miller,A. Stoudemire,SAC,PHO,M. Bibby,/players/b/bibbymi01.html,PHO,SAC,B. Miller,A. Stoudemire,0
200411130UTA,https://www.basketball-reference.com/boxscores/pbp/200411130UTA.html,Utah Jazz,Detroit Pistons,UTA,DET,J. Collins,R. Wallace,R. Wallace,DET,UTA,T. Prince,/players/p/princta01.html,DET,UTA,R. Wallace,J. Collins,1
200411130POR,https://www.basketball-reference.com/boxscores/pbp/200411130POR.html,Portland Trail Blazers,Toronto Raptors,POR,TOR,T. Ratliff,C. Bosh,Z. Randolph,TOR,POR,L. Woods,/players/w/woodslo01.html,POR,TOR,C. Bosh,T. Ratliff,0
200411140WAS,https://www.basketball-reference.com/boxscores/pbp/200411140WAS.html,Washington Wizards,Dallas Mavericks,WAS,DAL,B. Haywood,E. Dampier,D. Harris,DAL,WAS,D. Harris,/players/h/harride01.html,DAL,WAS,E. Dampier,B. Haywood,1
200411140PHI,https://www.basketball-reference.com/boxscores/pbp/200411140PHI.html,Philadelphia 76ers,Orlando Magic,PHI,ORL,M. Jackson,D. Howard,M. Jackson,PHI,ORL,K. Thomas,/players/t/thomake01.html,PHI,ORL,M. Jackson,D. Howard,1
200411140MIA,https://www.basketball-reference.com/boxscores/pbp/200411140MIA.html,Miami Heat,Milwaukee Bucks,MIA,MIL,S. O'Neal,D. Gadzuric,D. Gadzuric,MIA,MIL,D. Jones,/players/j/jonesda01.html,MIL,MIA,S. O'Neal,D. Gadzuric,0
200411140SEA,https://www.basketball-reference.com/boxscores/pbp/200411140SEA.html,Seattle SuperSonics,Memphis Grizzlies,SEA,MEM,J. James,P. Gasol,P. Gasol,SEA,MEM,L. Ridnour,/players/r/ridnolu01.html,MEM,SEA,J. James,P. Gasol,0
200411140SAC,https://www.basketball-reference.com/boxscores/pbp/200411140SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,B. Miller,F. Elson,A. Miller,DEN,SAC,G. Buckner,/players/b/buckngr01.html,DEN,SAC,F. Elson,B. Miller,1
